Scene,Camera X,Camera Y,Camera Z
mediumclamp_x+,0.7927545,1.385021,-1.0747
mediumclamp_x+,0.7909233,1.384359,-1.074418
mediumclamp_x+,0.7879607,1.382853,-1.073465
mediumclamp_x+,0.7851692,1.381015,-1.072146
mediumclamp_x+,0.7835266,1.380463,-1.071694
mediumclamp_x+,0.7804909,1.378644,-1.070521
mediumclamp_x+,0.777975,1.376853,-1.069388
mediumclamp_x+,0.7757162,1.375216,-1.068114
mediumclamp_x+,0.7741229,1.373935,-1.0672
mediumclamp_x+,0.7719853,1.37159,-1.065881
mediumclamp_x+,0.7709342,1.370621,-1.065519
mediumclamp_x+,0.7692042,1.368086,-1.064615
mediumclamp_x+,0.7682592,1.367008,-1.064144
mediumclamp_x+,0.7667678,1.364284,-1.063709
mediumclamp_x+,0.7660474,1.363044,-1.063602
mediumclamp_x+,0.7650267,1.359935,-1.064076
mediumclamp_x+,0.7641123,1.35788,-1.064543
mediumclamp_x+,0.7633992,1.355372,-1.065197
mediumclamp_x+,0.7627945,1.354255,-1.065371
mediumclamp_x+,0.7619184,1.351174,-1.066654
mediumclamp_x+,0.7614672,1.35056,-1.066134
mediumclamp_x+,0.7606241,1.348398,-1.066425
mediumclamp_x+,0.7601506,1.347553,-1.066148
mediumclamp_x+,0.7591022,1.346719,-1.065618
mediumclamp_x+,0.7583821,1.345189,-1.066306
mediumclamp_x+,0.7580521,1.3446,-1.066128
mediumclamp_x+,0.757559,1.343275,-1.0666
mediumclamp_x+,0.7571316,1.341516,-1.067769
mediumclamp_x+,0.7570668,1.34039,-1.069216
mediumclamp_x+,0.7570916,1.34,-1.069311
mediumclamp_x+,0.7571636,1.339183,-1.070553
mediumclamp_x+,0.7572423,1.338902,-1.071049
mediumclamp_x+,0.7574725,1.338686,-1.071708
mediumclamp_x+,0.7577218,1.338391,-1.072986
mediumclamp_x+,0.7575279,1.338146,-1.073843
mediumclamp_x+,0.7566932,1.337407,-1.075866
mediumclamp_x+,0.7567027,1.337085,-1.077062
mediumclamp_x+,0.7563226,1.336522,-1.078491
mediumclamp_x+,0.7559626,1.336105,-1.079857
mediumclamp_x+,0.7555887,1.33571,-1.081101
mediumclamp_x+,0.7551054,1.335506,-1.082157
mediumclamp_x+,0.7547725,1.335329,-1.083853
mediumclamp_x+,0.7541388,1.335384,-1.085181
mediumclamp_x+,0.7537717,1.335568,-1.086115
mediumclamp_x+,0.7534393,1.336021,-1.086943
mediumclamp_x+,0.7534371,1.33662,-1.087666
mediumclamp_x+,0.7534291,1.337469,-1.087924
mediumclamp_x+,0.7536649,1.338373,-1.08769
mediumclamp_x+,0.7548169,1.339324,-1.087203
mediumclamp_x+,0.7587135,1.340447,-1.085688
mediumclamp_x+,0.7608264,1.340998,-1.085679
mediumclamp_x+,0.7651618,1.341959,-1.084874
mediumclamp_x+,0.7697055,1.343435,-1.084153
mediumclamp_x+,0.7738539,1.345128,-1.083881
mediumclamp_x+,0.7773845,1.346789,-1.083326
mediumclamp_x+,0.7806315,1.348237,-1.083304
mediumclamp_x+,0.7834871,1.349201,-1.083352
mediumclamp_x+,0.7870423,1.350433,-1.082823
mediumclamp_x+,0.7905131,1.351032,-1.082223
mediumclamp_x+,0.7939041,1.351398,-1.081646
mediumclamp_x+,0.7977403,1.351673,-1.080885
mediumclamp_x+,0.801738,1.351878,-1.080222
mediumclamp_x+,0.8066601,1.35195,-1.079769
mediumclamp_x+,0.8127691,1.35187,-1.079611
mediumclamp_x+,0.8157924,1.351927,-1.0791
mediumclamp_x+,0.8209104,1.351995,-1.078573
mediumclamp_x+,0.8259065,1.352081,-1.078085
mediumclamp_x+,0.8309523,1.35229,-1.077499
mediumclamp_x+,0.8366336,1.352821,-1.076948
mediumclamp_x+,0.8424791,1.353238,-1.076599
mediumclamp_x+,0.8482246,1.353706,-1.076463
mediumclamp_x+,0.8557034,1.354352,-1.07627
mediumclamp_x+,0.859531,1.354621,-1.075555
mediumclamp_x+,0.8646451,1.354748,-1.075272
mediumclamp_x+,0.8697324,1.354743,-1.075323
mediumclamp_x+,0.8750096,1.354553,-1.07544
mediumclamp_x+,0.8797469,1.35405,-1.075712
mediumclamp_x+,0.8841991,1.353534,-1.075955
mediumclamp_x+,0.8901063,1.35272,-1.076792
mediumclamp_x+,0.892851,1.352477,-1.076795
mediumclamp_x+,0.8966163,1.352029,-1.07707
mediumclamp_x+,0.9002321,1.351594,-1.077048
mediumclamp_x+,0.9034138,1.351311,-1.077135
mediumclamp_x+,0.9063426,1.351059,-1.077194
mediumclamp_x+,0.9095653,1.350772,-1.077582
mediumclamp_x+,0.9124249,1.350693,-1.077934
mediumclamp_x+,0.9161356,1.35074,-1.078697
mediumclamp_x+,0.9181293,1.350802,-1.07857
mediumclamp_x+,0.9206977,1.35093,-1.078735
