Scene,Camera X,Camera Y,Camera Z
gelatinbox_z-,0.9945036,1.210515,-0.9454407
gelatinbox_z-,0.9941459,1.210705,-0.9456621
gelatinbox_z-,0.9937175,1.210944,-0.9465117
gelatinbox_z-,0.9930007,1.211385,-0.9473656
gelatinbox_z-,0.9927214,1.211841,-0.9483593
gelatinbox_z-,0.9924267,1.212118,-0.9493322
gelatinbox_z-,0.9913357,1.212654,-0.9503613
gelatinbox_z-,0.9905166,1.21326,-0.9516591
gelatinbox_z-,0.9897639,1.213731,-0.9530169
gelatinbox_z-,0.9888318,1.214017,-0.9543334
gelatinbox_z-,0.9876471,1.214622,-0.9572723
gelatinbox_z-,0.9869606,1.215015,-0.9593895
gelatinbox_z-,0.9855818,1.215462,-0.9617918
gelatinbox_z-,0.9853395,1.215717,-0.9639343
gelatinbox_z-,0.9833664,1.216238,-0.9665428
gelatinbox_z-,0.9817335,1.216563,-0.9697735
gelatinbox_z-,0.9810987,1.216735,-0.9721268
gelatinbox_z-,0.9791996,1.21714,-0.9758816
gelatinbox_z-,0.9780881,1.217494,-0.9777285
gelatinbox_z-,0.9752079,1.218085,-0.9810264
gelatinbox_z-,0.9724473,1.218505,-0.9857824
gelatinbox_z-,0.9704946,1.218756,-0.9890417
gelatinbox_z-,0.9676484,1.219107,-0.9930411
gelatinbox_z-,0.9663453,1.219206,-0.9953018
gelatinbox_z-,0.9628914,1.219398,-0.9994434
gelatinbox_z-,0.9594089,1.219434,-1.003534
gelatinbox_z-,0.9559191,1.219528,-1.007672
gelatinbox_z-,0.9548034,1.21945,-1.009883
gelatinbox_z-,0.9510562,1.21934,-1.015098
gelatinbox_z-,0.9485715,1.219234,-1.017965
gelatinbox_z-,0.9456958,1.218979,-1.021541
gelatinbox_z-,0.944001,1.218882,-1.023631
hammer_z+,0.9075199,1.221944,-1.049941
hammer_z+,0.9076629,1.22196,-1.050037
hammer_z+,0.907726,1.222163,-1.050002
hammer_z+,0.9077147,1.222408,-1.050024
hammer_z+,0.9069927,1.222904,-1.049433
hammer_z+,0.9068665,1.223288,-1.049384
hammer_z+,0.9062266,1.223243,-1.049716
hammer_z+,0.9056212,1.223421,-1.049981
hammer_z+,0.9048764,1.223719,-1.050115
hammer_z+,0.9034094,1.22452,-1.049773
hammer_z+,0.9020121,1.225353,-1.04948
hammer_z+,0.9009804,1.226083,-1.049885
hammer_z+,0.8996747,1.226852,-1.050517
hammer_z+,0.898001,1.228218,-1.05079
hammer_z+,0.8967723,1.228949,-1.05058
hammer_z+,0.8954989,1.229928,-1.05069
hammer_z+,0.8948696,1.230245,-1.050647
hammer_z+,0.8941578,1.230858,-1.050874
hammer_z+,0.8935574,1.231247,-1.050799
hammer_z+,0.893258,1.231462,-1.050607
hammer_z+,0.8929106,1.231667,-1.050154
hammer_z+,0.892143,1.231705,-1.04957
hammer_z+,0.8918605,1.231489,-1.048896
hammer_z+,0.8917716,1.231377,-1.048484
hammer_z+,0.8912315,1.231205,-1.04838
hammer_z+,0.8916549,1.230554,-1.049002
hammer_z+,0.891588,1.229896,-1.048903
hammer_z+,0.8916755,1.229969,-1.048641
hammer_z+,0.8905569,1.229671,-1.047498
hammer_z+,0.8899369,1.229456,-1.046449
hammer_z+,0.8900387,1.229119,-1.045861
hammer_z+,0.8908976,1.229028,-1.045952
hammer_z+,0.8914132,1.22883,-1.045389
hammer_z+,0.8917476,1.228811,-1.04522
hammer_z+,0.892359,1.228665,-1.044736
